tid,tags,EN,oldEN
TID_BUTTON_NEWS,,Новости,News
TID_BUTTON_EXIT_PUZZLE,,Готово,Done
TID_BUTTON_PUZZLE_TRY_AGAIN,,Попроб. снова,Try again
TID_BUTTON_PUZZLE_CONTINUE,,Продолжить,Continue
TID_BUTTON_CLAN_KICK_OUT,,Выгнать,Kick Out
TID_BUTTON_CLAN_PROMOTE,,Повысить,Promote
TID_BUTTON_CLAN_DEMOTE,,Понизить,Demote
TID_BUTTON_CLAN_SETTINGS_SAVE,,Сохранить,Save
TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_TITLE,,Обновление!,Update Game
TID_ERROR_POP_UP_WRONG_CLIENT_VERSION,,"Появилось обновление игры, а это значит, что перевод теперь не актуален. Следите за новостями На ГитХабе.",Click button to update the game
TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_BUTTON,,Обновить,Update
TID_ERROR_POP_UP_OUT_OF_SYNC_TITLE,,НЕ СИНХРОНИЗИРОВАНО,OUT OF SYNC
TID_ERROR_POP_UP_OUT_OF_SYNC,,Что-то пошло не так и игра не синхронизирована со сервером.,Something went wrong and the game is out of sync. Chillax!
TID_ERROR_POP_UP_OUT_OF_SYNC_BUTTON,,Перезагр.,Reload
TID_NO_PUZZLE_ENERGY,,Нету Энергии...,Out of Energy...
TID_NEXT_ENERGY_TIMER,,Следующая жизнь через...,Next life in:
TID_COST_FREE,,БЕСПЛАТНО,FREE
TID_EXTRA_MOVES,,Купить дополнительные ходы:,Buy extra moves for:
TID_LEVEL_FAILED_NO_MOVES,,Не осталось возможных ходов!,No possible moves left!
TID_LEVEL_FAILED_TITLE,,Уровень Провален!,Puzzle Failed!
TID_LEVEL_COMPLETE,,Отличная игра!,Well played!
TID_LEVEL_COMPLETE_TITLE,,Уровень Пройден!,Puzzle Complete!
TID_LEVEL_START_TITLE,,Погнали!,Let's Go!
TID_LEVEL_START,,Цель:,Goal:
TID_LEADERBOARD,,Доска Лидеров,Leaderboard
TID_NAME_INSTRUCTIONS,,"Выбери имя, которое тебе нравится. Другие люди будут его видеть!",Pick a name you like. This is how other players will see you!
TID_GIVE_NAME_TITLE,,Мое имя...,My name is...
TID_BUTTON_DONE,,Готово,Done
TID_NAME_TOO_SHORT,,Имя слишком короткое!,Name is too short!
TID_INVALID_NAME,,Неправильное имя! Попробуйте другое.,Invalid name! Please try another one.
TID_ENTER_NAME_TITLE,,Введите Имя,Enter Name
TID_UNLOCK_LEVEL,,Разблокируется после прохождения Уровня,Unlock after Puzzle Level
TID_UNLOCK_LEVEL_WITH_NUMBER,,Разблокируется после прохождения Уровня <LEVEL>,Unlock after Puzzle Level <LEVEL>
TID_GEMS,,Гемы,Gems
TID_PUZZLE_ENERGY,,Энергия,Energy
TID_ENERGY_FULL,,Заполнено,Full
TID_INFINITE_PUZZLE_ENERGY_TIME,,Бесконечная Энергия,Infinite Energy
TID_TIME_DAYS,,д.,d
TID_TIME_HOURS,,ч.,h
TID_TIME_MINS,,м.,m
TID_TIME_SECS,,с.,s
TID_QUIT_PUZZLE,,Покинуть Битву?,Leave Battle?
TID_QUIT_PUZZLE_TEXT,,"Покинуть Битву и вернуться в главное меню?\n\nВы все равно получите награду, накопленную за весь бой.",Leave this battle and return to main menu?\n\nYou´ll keep the loot gained so far.
TID_BUTTON_PLAY_ON,,Отмена,Cancel
TID_BUTTON_QUIT,,Покинуть,Leave
TID_INFO_POP_UP_TOS_PP_TITLE,,Важная Заметка,Important Notice
TID_INFO_POP_UP_TOS_PP_NOTE,,"Clash Quest бесплатная игра, но ты можешь ускорить свой прогресс с помощью внутриигровых покупок. Нажмите для принятия нашего <TOS>Соглашения</TOS> и <PP>Политики Конфиденциальности</PP>.","Clash Quest is free to play, but you can speed up progress with in-app purchases (you can disable this in your device settings). Tap Okay to accept our <TOS>Terms</TOS> and <PP>Privacy Policy</PP>."
TID_INFO_POP_UP_TOS_PP_NOTE_ANDROID,,"Clash Quest бесплатная игра, но ты можешь ускорить свой прогресс с помощью внутриигровых покупок. Нажмите для принятия нашего <TOS>Соглашения</TOS> и <PP>Политики Конфиденциальности</PP>.","Clash Quest is free to play, but you can speed up progress with in-app purchases (to disable this, set up password protection in your Google Play Store app settings). Tap Okay to accept our <TOS>Terms</TOS> and <PP>Privacy Policy</PP>."
TID_INFO_POP_UP_TOS_PP_BUTTON1,,Окей,Okay
TID_INFO_POP_UP_TOS_PP_BUTTON2,,Пользовательское Соглашение,Terms of Service
TID_INFO_POP_UP_IAP_NOTE_TITLE,,Важная Заметка,Important Notice
TID_INFO_POP_UP_IAP_NOTE,,"Clash Quest бесплатная игра, но ты можешь ускорить свой прогресс с помощью внутриигровых покупок. Нажмите для принятия нашего Соглашения и Политики Конфиденциальности.","Clash Quest is free to play, but you can speed up progress with in-app purchases (you can disable this in your device settings). Tap Okay to accept our Terms and Privacy Policy."
TID_INFO_POP_UP_IAP_NOTE_BUTTON,,Окей,Okay
TID_CONTACT_US_WELCOME_TEXT,,Привет!,Hello!
TID_SELFHELP_UNAVAILABLE,,"Помощь и Поддержка в настоящее время не доступна. Пожалуйста, попробуйте снова чуть позже.",Help and Support is unavailable right now. Please try later.
TID_MUSIC_ON,,Музыка ВКЛ.,Music ON
TID_MUSIC_OFF,,Музыка ВЫКЛ.,Music OFF
TID_SOUNDS_ON,,Звуки ВКЛ.,Sounds ON
TID_SOUNDS_OFF,,Звуки ВЫКЛ.,Sounds OFF
TID_ON,,ВКЛ.,ON
TID_OFF,,ВЫКЛ.,OFF
TID_SOUNDS,,Звуковые Эффекты,Sound Effects
TID_MUSIC,,Музыка,Music
TID_BUTTON_CONNECT,,Подключить,Connect
TID_WAITING_FOR_PENDING_TRANSACTION,,Ожидание оплаты транзакции,Waiting for pending transaction
TID_HUD_ENERGY,,<VALUE>,<VALUE>
TID_HUD_ENERGY_LONG,,<VALUE><cAABED0>/<MAXVALUE></c>,<VALUE><cAABED0>/<MAXVALUE></c>
TID_RATE_APP_TITLE,,Оцените Clash Quest,Rate Clash Quest
TID_RATE_APP_MESSAGE,,"Пожалуйста, оцените нас или оставьте обзор, чтобы мы видели ваши желания!",Please rate or review Clash Quest on App Store to give us valuable feedback!
TID_RATE_APP_MESSAGE_ANDROID,,"Пожалуйста, оцените нас или оставьте обзор, чтобы мы видели ваши желания!",Please rate or review Clash Quest on Play Store to give us valuable feedback!
TID_BUTTON_RATE_APP_LATER,,Позже,Later
TID_BUTTON_RATE_APP_REVIEW,,Оценить,Review
TID_BUTTON_RATE_APP_NEVER,,Никогда,Never
TID_BIND_TO_NEW_GAMECENTER_ACCOUNT_TITLE,,Новый вход Game Center,New Game Center login
TID_BIND_TO_NEW_GAMECENTER_ACCOUNT,,Вы хотите сохранить текущий аккаунт  на этом аккаунте Game Center?,Do you want to save your current game on this Game Center account?
TID_GOOGLE_SERVICE_BOUND_TO_OTHER_ACCOUNT_TITLE,,Предупреждение: Google Аккаунт,Google Account Alert
TID_BOUND_TO_OTHER_ACCOUNT_LOAD_VILLAGE_TITLE,,Загрузить игру?,Load game?
TID_BUTTON_VILLAGE_LOAD,,Загрузить,Load
TID_GAMECENTER_BOUND_TO_OTHER_ACCOUNT_TITLE,,Предупреждение Game Center,Game Center Alert
TID_GOOGLE_SERVICE_BOUND_TO_OTHER_ACCOUNT,,Вы хотите загрузить игру с <number> Звездными Сундуками? Предупреждение: нынешний прогресс будет потерян.,Do you want to load another progress with <number> Star Chests? Warning: progress in the current game will be lost.
TID_GAMECENTER_BOUND_TO_OTHER_ACCOUNT,,Вы хотите загрузить игру с <number> Звездными Сундуками? Предупреждение: нынешний прогресс будет потерян.,Do you want to load another progress with <number> Star Chests? Warning: Progress in the current game will be lost.
TID_CANNOT_SWITCH_TO_ACCOUNT_WITHOUT_SUPERCELL_ID,,Вы хотите загрузить игру с <number> Звездными Сундуками? Загрузите это с помощью Supercell ID.,Do you want to load another progress with <number> Star Chests? Load it by logging in with your Supercell ID.
TID_GOOGLE_ACCOUNT_ALREADY_BOUND,,Загрузка через Google Play привела к ошибке! Ваш Google аккаунт уже привязан к другому аккаунту.,Google Play Sign-In failed! Your Google account is already associated with another game account.
TID_CREDITS_BUTTON,,Авторы,Credits
TID_ADVANCED_SETTINGS,,Больше настроек,More settings
TID_SETTINGS_ON,,Вкл.,On
TID_SETTINGS_OFF,,Выкл.,Off
TID_LANGUAGE_BUTTON,,Язык,Language
TID_ABOUT,,Авторы\n\n<names>\n\nClash Quest <version>\nCopyright 2021 Supercell Ltd. All Rights Reserved.\nUS Patent Pending\nAll use of this software is subject to Terms and Conditions and Privacy Policy at www.supercell.com,Credits\n\n<names>\n\nClash Quest <version>\nCopyright 2021 Supercell Ltd. All Rights Reserved.\nUS Patent Pending\nAll use of this software is subject to Terms and Conditions and Privacy Policy at www.supercell.com
TID_LANGUAGE_SCREEN_TITLE,,Выбрать язык,Select Language
TID_NOT_ENOUGH_PUZZLE_ENERGY,,Недостаточно энергии для игры в Уровень.,Not enough Energy to play puzzle
TID_NOT_ENOUGH_FARM_ENERGY_TITLE,,Out of Farm Energy,Out of Farm Energy
TID_HINT_WELCOME,,"Загрузка варваров, лучниц, колдунов и т.д...","Loading Barbarians, Archers, Wizards etc."
TID_POPUP_NOT_ENOUGH_COINS_TITLE,,Недостаточно Золота,Not enough gold
TID_POPUP_NOT_ENOUGH_COINS_TEXT,,Использовать гемы для покупки недостающего золота?,Use Gems to buy missing gold?
TID_POPUP_NOT_ENOUGH_GEMS_TITLE,,Недостаточно Гемов,Not enough Gems
TID_POPUP_NOT_ENOUGH_GEMS_TEXT,,Необходимо больше Гемов.\nПерейти в магазин Гемов?,More Gems are needed.\nGo to the Gem Shop?
TID_POPUP_NOT_ENOUGH_GEMS_BUY_TEXT,,Хочешь купить еще?,Wanna buy some more?
TID_POPUP_NOT_ENOUGH_RESOURCES_TITLE,,Недостаточно ресурсов,Not enough resources
TID_POPUP_NOT_ENOUGH_RESOURCES_TEXT,,"Использовать Гемы, чтобы купить недостающие ресурсы?",Use Gems to buy missing resources?
TID_SPEEDUP_TITLE,,Пройти сейчас?,Complete now?
TID_SPEEDUP_COST,,Цена ускорения:,Speed up cost:
TID_UNLOCKS,,РАЗБЛОКИРОВАНО!,UNLOCKED!
TID_SEASON_COMPLETE_TITLE,,Сезон пройден,Season complete
TID_SEASON_COMPLETE_TEXT,,Поздравляем с прохождением сезона!,Congrats for completing a season!
TID_SEASON_COMPLETE_GOODS_SOLD_TEXT,,ЗОЛОТО ИЗ МАГАЗИНА,GOLD FROM MARKET
TID_SELL_BUTTON,,ПРОДАТЬ,SELL
TID_DEFAULT_SEARCH_TEXT,,Впишите назввание Клана для поиска,Type Clan name to search
TID_MEMBERS,,Участники,Members
TID_TAB_BUTTON_ALLIANCE_CHAT,,Чат,Chat
TID_TAB_BUTTON_ALLIANCE_SEARCH,,Поиск,Search
TID_TAB_BUTTON_ALLIANCE_MEMBERS,,Участники,Members
TID_CLAN_MEMBERS_ONLINE,,<cF3F2C8>Участников онлайн</c> <NUM>/<SIZE>,<cF3F2C8>Members online</c> <NUM>/<SIZE>
TID_SORT_BY,,Сорт.:,View:
TID_SEASON_SCORE,,Счет сезона:,Season score:
TID_SEASON_TOTAL_SCORE,,Всего:,Total score:
TID_SORT_BY_SEASON_SCORE,,Очки Кланового Сезона,Clan Season Score
TID_SORT_BY_STAR_CHESTS,,Звездные Сундуки,Star Chests
TID_SORT_BY_JOIN_REQUESTS,,Заявки на вступление,Join requests
TID_NH_MEMBERS_ONLINE,,Участников онлайн:,Members online:
TID_CLAN_CREATE_TITLE,,Создать Клан!,Create a Clan!
TID_CLAN_EDIT_TITLE,,Редакт.,Edit
TID_NH_NAME,,Имя Клана,Clan Name
TID_NH_DESCRIPTION,,Описание Клана,Clan Description
TID_LEAVE,,Выйти,Leave
TID_JOIN,,Вступить,Join
TID_CLAN_JOIN_FAIL_BANNED,,"Нельзя вступить, вы забанены в этом клане!","Can't join, you have been banned from this clan!"
TID_CLAN_JOIN_FAIL_CLOSED,,Клан закрыт!,Clan is closed!
TID_ALLIANCE_LEFT,,Вы вышли из клана!,Left clan!
TID_ALLIANCE_KICKED_OUT,,Вы были изгнаны из клана!,Kicked out from clan!
TID_ALLIANCE_CREATED,,Клан создан!,Clan created!
TID_ALLIANCE_JOINED,,Вы вошли в клан!,Joined clan!
TID_DEFAULT_ALLIANCE_NAME,,ВСТАВЬТЕ ИМЯ СЮДА,INSERT NAME HERE
TID_DEFAULT_ALLIANCE_DESCRIPTION,,ВСТАВЬТЕ ОПИСАНИЕ СЮДА,INSERT DESCRIPTION HERE
TID_TOO_SHORT_ALLIANCE_NAME,,Имя клана слишком маленькое,Clan name too short
TID_ALLIANCE_ROLE_MEMBER,,Участник,Member
TID_ALLIANCE_ROLE_LEADER,,Лидер,Leader
TID_ALLIANCE_ROLE_ELDER,,Старейшина,Elder
TID_ALLIANCE_ROLE_CO_LEADER,,Со-Рук.,Co-Leader
TID_PROMOTE,,Повысить,Promote
TID_DEMOTE,,Понизить,Demote
TID_KICK,,Выгнать,Kick
TID_KICK_MESSAGE_TITLE,,Выгнать?,Kick Out?
TID_KICK_MESSAGE_TEXT,,Выгнать <NAME> из клана?,Kick out <NAME> from the clan?
TID_KICK_RESULT_SUCCESS,,Участник был выгнан.,Member kicked out successfully.
TID_PROMOTE_TITLE,,Повысить?,Promote?
TID_CLAN_PROMOTE_TO_LEADER,,Повысить <NAME> до Лидера? Вы потеряете эту роль.,Promote <NAME> to Leader? You will lose Leader role.
TID_CLAN_PROMOTE_TO_ELDER,,Повысить <NAME> до Старейшины?,Promote <NAME> to Elder?
TID_CLAN_PROMOTE_TO_CO_LEADER,,Повысить <NAME> до Со-Рука?,Promote <NAME> to Co-Leader?
TID_DEMOTE_TITLE,,Понизить?,Demote?
TID_CLAN_DEMOTE_TO_MEMBER,,Понизить <NAME> до Участника?,Demote <NAME> to Member?
TID_CLAN_DEMOTE_TO_ELDER,,Понизить <NAME> до Старейшины?,Demote <NAME> to Elder?
TID_STREAM_SENDER_YOU,,Ты,You
TID_STREAM_ENTRY_AGE,,<time> назад,<time> ago
TID_STREAM_EVENT_JOINED,,<name> вошел,<name> joined
TID_STREAM_EVENT_LEFT,,<name> ушел,<name> left
TID_STREAM_EVENT_KICKED,,<name> был изгнан,<name> was kicked from clan
TID_STREAM_EVENT_PROMOTED,,<name> был повышен,<name> promoted
TID_STREAM_EVENT_DEMOTED,,<name> был понижен,<name> demoted
TID_STREAM_EVENT_ACCEPTED,,<name> был принят в клан,<name> accepted to clan
TID_ALLIANCE_LEAVE_CONFIRMATION_TITLE,,Покинуть Клан?,Leave clan?
TID_ALLIANCE_LEAVE_CONFIRMATION,,Вы действительно хотите покинуть клан?,Do you really want to leave this clan?
TID_TAP_OPEN,,Нажмите для открытия...,Tap to open...
TID_TAP_TO_CONTINUE,,"Нажмите, чтобы продолжить...",Tap to continue...
TID_SHOP,,Магазин,Shop
TID_FRIENDS,,Друзья,Friends
TID_EVENTS,,Вызовы,Challenges
TID_MAIL,,Почта,Mail
TID_ANIMAL_BUTTERFLY1,,Бабочка,Butterfly
TID_ANIMAL_LOBSTER,,Лобби,Lobby
TID_CHECKING_NAME,,Регистрация имени...,Registering Name...
TID_CHECKING_NAME_FAILED,,Имя не пригодно к использованию.,Name not allowed.
TID_NO_NAME_YET,,Чувак,Buddy
TID_BUTTON_PURCHASE,,Купить,Buy
TID_BUTTON_PURCHASE_FREE,,Получить,Get
TID_SHOP_CLOSED,,"Извините, закрыто!","Sorry, closed!"
TID_SHOP_NEW,,НОВОЕ!,NEW!
TID_SHOP_UNLOCKED_AT,,"Разблокируйте, путем получения <cf3f2c8><STARS> Звездных Сундуков</c>",Unlock by collecting <cf3f2c8><STARS> Star Chests</c>
TID_SHOP_HEADER_OFFERS,,Специальное предложение,Special Offers
TID_SHOP_HEADER_OFFERS_COLOR,,cc4141,cc4141
TID_SHOP_HEADER_DAILY_DEALS,,Ежедневные Предложения,Daily Deals
TID_SHOP_HEADER_DAILY_DEALS_COLOR,,cc4141,cc4141
TID_SHOP_HEADER_DAILY_DEALS_TIME,,<cF3F2C8>Новые предложения через </c> <TIME>,<cF3F2C8>New deals in</c> <TIME>
TID_SHOP_HEADER_GEMS,,Гемы,Gems
TID_SHOP_HEADER_GEMS_COLOR,,cc4141,cc4141
TID_SHOP_HEADER_GOLD,,Золото,Gold
TID_SHOP_HEADER_GOLD_COLOR,,cc4141,cc4141
TID_SHOP_HEADER_BATTLE_TOKENS,,Квестовые Токены,Quest Tokens
TID_SHOP_HEADER_BATTLE_TOKENS_COLOR,,cc4141,cc4141
TID_SHOP_HEADER_ELIXIR_LOOT_BOXES,,Ящик Эликсира,Elixir Crate
TID_SHOP_HEADER_ELIXIR_LOOT_BOXES_COLOR,,cc4141,cc4141
TID_SHOP_HEADER_MAGIC_ITEM_BUNDLES,,Магические Предметы,Magic Item bundles
TID_SHOP_HEADER_MAGIC_ITEM_BUNDLES_COLOR,,cc4141,cc4141
TID_SHOP_DEAL_GOLD,,Золото,Gold
TID_SHOP_DEAL_QUEST_TOKEN,,Квестовый Токен,Quest Token
TID_SHOP_DEAL_QUEST_TOKENS,,Квестовые Токены,Quest Tokens
TID_SHOP_DEAL_GEM,,Гем,Gem
TID_SHOP_DEAL_GEMS,,Гемы,Gems
TID_SHOP_DEAL_ELIXIR,,<name>: Эликсир,<name> Elixir
TID_SHOP_DEAL_ELIXIRS,,<name>: Эликсир,<name> Elixir
TID_SHOP_DEAL_CAP,,1x <name>,One more <name>
TID_SHOP_DEAL_CAPS,,<number>x <name>,<number> more <name>s
TID_SHOP_GEM_PACK_1,,Кучка Гемов,Pile of Gems
TID_SHOP_GEM_PACK_2,,Мешок Гемов,Bag of Gems
TID_SHOP_GEM_PACK_3,,Ведро Гемов,Bucket of Gems
TID_SHOP_GEM_PACK_4,,Ванная Гемов,Tub of Gems
TID_SHOP_GEM_PACK_5,,Лодка Гемов,Boat of Gems
TID_SHOP_GEM_PACK_6,,Волна Гемов,Wave of Gems
TID_SHOP_SPECIAL_OFFER,,Специальное предложение,Special Offer
TID_SHOP_GOLD_PACK_1,,Мешочек Золота,Pouch of Gold
TID_SHOP_GOLD_PACK_2,,Ведро Золота,Bucket of Gold
TID_SHOP_GOLD_PACK_3,,Ванная Золота,Tub of Gold
TID_SHOP_TOKEN_PACK_1,,Кучка Квестовых Токенов,Fistful of Quest Tokens
TID_SHOP_TOKEN_PACK_2,,"Кучка Квестовых Токенов, только лучше прошлой",Pile of Quest Tokens
TID_SHOP_TOKEN_PACK_3,,Мешок Квестовых Токенов,Pouch of Quest Tokens
TID_SHOP_ELIXIR_LOOT_BOX_1,,Ящик Эликсира,Elixir Crate
TID_INFO_ELIXIR_LOOT_BOX,,"В этом ящике 20 эликсира, которые разделяются между 4 разными войсками и заклинаниями!","Gain 20 elixir, randomly distributed between 4 different troops and spells!"
TID_SHOP_CONFIRM_POPUP_MAX_ELIXIR,,Максимум кол-ва Эликсира уже достигнуто.\n\nПодтвердить покупку альтернативной награды в виде <GOLD_AMOUNT> Золота?,Maximum elixir is already reached.\n\nConfirm purchase on alternative reward of <GOLD_AMOUNT> Gold instead?
TID_SHOP_UNABLE_TO_BUY_ELIXIR_CRATE_FLOATER,,Невозможно купить Ящик Эликсира,Unable to buy Elixir Crate
TID_SHOP_MAX_RESOURCE_CAP_FLOATER,,Достигнуто ограничение по ресурсам,Resource cap reached
TID_SHOP_FOR,,Для воина <NAME>,For <NAME>
TID_AREA_REWARDS,,Награды,Rewards
TID_ADD_MOVES_AND_CONTINUE,,Продолжить с <num> ходами?,Continue with <num> move moves?
TID_BUTTON_CONTINUE,,Продолжить,Continue
TID_BUTTON_GIVE_UP,,Сдаться,Give up
TID_OUT_OF_MOVES_TITLE,,Ходы Закончились!,Out of Moves!
TID_LOSE_STREAK_TITLE,,Ты уверен?,Are you sure?
TID_WIN_STREAK_BONUS_LOSE,,Ты потеряешь свои победные комбо!,You will lose your win streak!
TID_LEVEL_GOALS,,Цели:,Goals:
TID_BATTLE_BUTTON,,Играть,Play
TID_SELECT_BOOSTERS,,Выберите Ускорители:,Select Boosters:
TID_ERROR_POP_UP_CONNECTION_FAILED_TITLE,,Ошибка подключения,Connection error
TID_ERROR_POP_UP_CONNECTION_FAILED,,Невозможно подключиться к серверу. Проверьте ваше подключение к интернету и попробуйте снова.,Unable to connect with the server. Check your internet connection and try again.
TID_ERROR_POP_UP_CONNECTION_FAILED_BUTTON,,Попробов. снова,Try again
TID_ERROR_POP_UP_AUTO_DISCONNECTED_TITLE,,Ошибка подключения,Connection error
TID_ERROR_POP_UP_AUTO_DISCONNECTED,,Невозможно подключиться к серверу. Проверьте ваше подключение к интернету и попробуйте снова.,Unable to connect with the server. Check your internet connection and try again.
TID_ERROR_POP_UP_AUTO_DISCONNECTED_BUTTON,,Попробов. снова,Try again
TID_ERROR_POP_UP_CONNECTION_LOST_TITLE,,Соединение потеряно,Connection lost
TID_ERROR_POP_UP_CONNECTION_LOST,,Соединение со сервером разорвно. Проверьте ваше подключение к интернету и попробуйте снова.,You have lost connection with the server. Check your internet connection and try again.
TID_ERROR_POP_UP_CONNECTION_LOST_BUTTON,,Попробов. снова,Try again
TID_ERROR_POP_UP_SERVER_MAINTENANCE_TITLE,,Тех. Перерыв,Maintenance
TID_ERROR_POP_UP_SERVER_MAINTENANCE,,"Простите, илкка накрыл сервера. Пожалуйста, попробуйте снова чуть позже.","Sorry, the servers are under maintenance. Please try again later."
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_SOON,,"Простите, илкка накрыл сервера. Пожалуйста, попробуйте снова чуть позже.","Sorry, the servers are under maintenance. Please try again later."
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_MINUTES,,"Простите, илкка накрыл сервера. Пожалуйста, попробуйте снова чуть позже.","Sorry, the servers are under maintenance. Please try again later."
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_HOUR,,"Простите, илкка накрыл сервера. Пожалуйста, попробуйте снова чуть позже.","Sorry, the servers are under maintenance. Please try again later."
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_HOUR_AND_HALF,,"Простите, илкка накрыл сервера. Пожалуйста, попробуйте снова чуть позже.","Sorry, the servers are under maintenance. Please try again later."
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_TWO_HOURS,,"Простите, илкка накрыл сервера. Пожалуйста, попробуйте снова чуть позже.","Sorry, the servers are under maintenance. Please try again later."
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_LONG,,"Простите, илкка накрыл сервера. Пожалуйста, попробуйте снова чуть позже.","Sorry, the servers are under maintenance. Please try again later."
TID_MAINTENANCE_ESTIMATED_UNKNOWN,,"Пожалуйста, попробуйте еще раз позже.",Please try again later.
TID_MAINTENANCE_ESTIMATED_SOON,,"Пожалуйста, попробуйте еще раз позже.",Please try again later.
TID_MAINTENANCE_ESTIMATED_MINUTES,,"Пожалуйста, попробуйте еще раз позже.",Please try again later.
TID_MAINTENANCE_ESTIMATED_HOUR,,"Пожалуйста, попробуйте еще раз позже.",Please try again later.
TID_MAINTENANCE_ESTIMATED_HOUR_AND_HALF,,"Пожалуйста, попробуйте еще раз позже.",Please try again later.
TID_MAINTENANCE_ESTIMATED_TWO_HOURS,,"Пожалуйста, попробуйте еще раз позже.",Please try again later.
TID_MAINTENANCE_ESTIMATED_LONG,,"Пожалуйста, попробуйте еще раз позже.",Please try again later.
TID_ERROR_POP_UP_SERVER_MAINTENANCE_BUTTON,,Попробов. снова,Try again
TID_PUZZLE_REWARDS,,Ты получил:,You got:
TID_PUZZLE_REWARDS_CHESTS_REMAINING,,<cF3F2C8>Сундуков осталось: </c><VALUE>,<cF3F2C8>Chests remaining: </c><VALUE>
TID_CLAN_PUZZLE_REWARDS,,Твой клан получил:,Your clan got:
TID_COLLECTING_CLAN_DAILY_REWARDS,,Награды твоего клана за вчера:,Your clan rewards from yesterday:
TID_UNLOCKED,,Ты нашел:,You found:
TID_NO_REWARDS,,В этот раз ты не получил наград.\n\nПовезет в следующий раз !,You didn't gain any loot this time.\n\nBetter luck next time!
TID_BUTTON_OK,,ОК!,OK!
TID_BUTTON_CONNECTED,,Подключено,Connected
TID_BUTTON_DISCONNECTED,,Отключено,Disconnected
TID_SUPERCELL_ID,,Supercell ID,Supercell ID
TID_SUPERCELL_ID_DESCRIPTION,,Подключи Supercell ID для сохранения своего прогресса и возможности видеть достижения твоих друзей!,Connect to Supercell ID to safeguard your progress and see the Friends Leaderboard.
TID_CONNECT_SUPERCELL_ID_BUTTON,,Подключить,Connect
TID_SOCIAL_BUTTONS_LABEL,,Проверь их!,Check these out!
TID_BUTTON_ADD_FRIENDS,(!),Add Friends,Add Friends
TID_FRIENDS_EMPTY_LIST,,Your Friends list is empty. Add some friends!,Your Friends list is empty. Add some friends!
TID_GOOGLE_PLAY,,Google Play,Google Play
TID_BUTTON_SIGN_IN,,Войти,Sign-In
TID_BUTTON_SIGNED_IN,,Подключено,Signed-In
TID_PLAYER_ID,,ID Игрока: <HIGH>-<LOW>,Player ID: <HIGH>-<LOW>
TID_BUTTON_PLAY_WITHOUT_SCID,,Играть без Supercell ID,Play without Supercell ID
TID_BUTTON_SCID_LOGIN,,Войти в Supercell ID,Log in with Supercell ID
TID_POPUP_OFFLINE_TITLE,,Нету соединения,No connection
TID_POPUP_OFFLINE_TEXT,,Включите интернет и попробуйте снова!,Go online and try again!
TID_OK_OFFLINE_POPUP,,Продолжить,Continue
